id,file_path,method_name,method_parameter_types,method_return_type,line,api,name,description,type,analysis_id
596,main/java/org/cambench/cap/basic/brokencrypto/BrokenCrypto1.class,main,,,,,BrokenCrypto,"Found: ""DES"". Found broken crypto schemes.",cryptoguard,2
552,main/java/org/cambench/cap/basic/brokencrypto/BrokenCrypto2.class,main,,,,,BrokenCrypto,"Found: ""Blowfish"". Found broken crypto schemes.",cryptoguard,2
573,main/java/org/cambench/cap/basic/brokencrypto/BrokenCrypto3.class,main,,,,,BrokenCrypto,"Found: ""RC2"". Found broken crypto schemes.",cryptoguard,2
603,main/java/org/cambench/cap/basic/brokencrypto/BrokenCrypto4.class,main,,,,,BrokenCrypto,"Found: ""RC4"". Found broken crypto schemes.",cryptoguard,2
551,main/java/org/cambench/cap/basic/brokencrypto/BrokenCrypto5.class,main,,,,,BrokenCrypto,"Found: ""RC5"". Found broken crypto schemes.",cryptoguard,2
659,main/java/org/cambench/cap/basic/brokenhash/BrokenHash1.class,main,,,,,BrokenHash,"Found: ""MD5"". Found broken hash functions.",cryptoguard,2
648,main/java/org/cambench/cap/basic/brokenhash/BrokenHash2.class,main,,,,,BrokenHash,"Found: ""SHA-1"". Found broken hash functions.",cryptoguard,2
649,main/java/org/cambench/cap/basic/brokenhash/BrokenHash3.class,main,,,,,BrokenHash,"Found: ""MD2"". Found broken hash functions.",cryptoguard,2
681,main/java/org/cambench/cap/basic/brokenhash/BrokenHash4.class,main,,,,,BrokenHash,"Found: ""MD4"". Found broken hash functions.",cryptoguard,2
547,main/java/org/cambench/cap/basic/ecbmode/EcbMode1.class,main,,,,,BrokenCrypto,"Found: ""AES/ECB/PKCS5Padding"". Found broken crypto schemes.",cryptoguard,2
622,main/java/org/cambench/cap/basic/insecurerandom/InsecureRandom1.class,main,,,,,UntrustedPRNG,Found: Untrused PRNG (java.util.Random). Used untrusted PRNG.,cryptoguard,2
